candidate_relation_triple,label
javascript be run outside of the browser,1
javascript runs on every operating system,1
javascript cascading cascading style sheets,1
the mozilla developer network was developed under the name mocha,1
modern browsers implement javascript,1
scripts run in a sandbox,1
the java language derives much of c,1
the java language derives much of c++,1
java applications are typically compiled to bytecode,1
the jvm compiles code,1
the jvm optimize performance,1
the jvm manages memory,1
java supports native interface,1
java is designed to have few implementation dependencies,1
java was originally developed by james gosling,1
java was originally developed by sun microsystems,1
java was released in a core component,1
java was started as a project,1
computing systems have installed running java programs,1
java is compiled into bytecode,1
bytecode is then compiled by native machine code,1
bytecode is then compiled by the jvm,1
java se will be released every six months,1
java programs increase readability,1
java source code is compiled to an intermediate form,1
an intermediate form can be executed with the java command,1
python incorporates dynamic data types,1
python incorporates modules,1
python incorporates classes,1
python incorporates exceptions,1
python incorporates dynamic typing,1
python combines remarkable power,1
python combines clear syntax,1
python has interfaces to many system calls,1
python has interfaces to libraries,1
python has interfaces to various window systems,1
python has interfaces to many system calls,1
python has interfaces to libraries,1
python has interfaces to various window systems,1
python is extensible in c,1
python is extensible in c++,1
python is also usable as an extension language,1
python runs on many unix variants,1
python was originally created by guido van rossum,1
python supports multiple programming paradigms,1
python features dynamic type system,1
python features automatic memory management,1
python is often used as other dynamic languages,1
python is often used as a scripting language,1
python interpreters are available for many operating systems,1
python comes with a basic ide called idle,1
easy_install installing installing dependencies,1
easy_install was notable at the time,1
a simple python library uses c apis,1
scrapy can be used for testing,1
scrapy can be used for data mining,1
beautiful soup is available for python,1
beautiful soup is available for python,1
level python web framework encourages pragmatic design,1
level python web framework encourages rapid development,1
flask provides monolithic structure,1
flask does not enforce dependencies,1
tornado can scale to open connections,1
web framework build web applications,1
the emerging wsgi standard allows extensive re-use,1
turbogears was created in kevin dangoor,1
falcon encourages architectural style,1
kivy supports multiple platforms,1
kivy comes with over 20 widgets,1
pyqt is available for sharp zaurus,1
pyqt is available for linux,1
pyqt is available for windows,1
pyqt is available for mac os x,1
tkinter is commonly bundled with python,1
tkinter is popular for graphical user interface,1
scipy includes algorithms,1
scipy includes tools,1
scipy is closely related to numpy,1
scipy depends on many numpy functions,1
matplotlib provides api,1
matplotlib provides applications,1
pandas integrates matplotlib's plotting capabilities,1
pandas integrates many other libraries' features,1
pandas integrates numpy's matrix operations,1
theano features automatic differentiation,1
theano supports training,1
theano supports testing,1
cython makes writing c extensions,1
the original php project invented by rasmus lerdorf,1
3v4l act like jsfiddle,1
php sandbox act like jsfiddle,1
codepad act like jsfiddle,1
the pear repository is also possible to download the documentation,1
php is often paired with relational database,1
php includes great database support,1
pecl extensions offer nosql,1
packagist contain many of popular php libraries,1
android is designed primarily for mobile devices,1
google has further developed android tv,1
google has further developed televisions,1
butterknife otto picassogreendao android developers contains the sdk downloads,1
butterknife otto picassogreendao android developers contains class reference,1
butterknife otto picassogreendao android developers contains tutorials,1
android open source project contains all necessary information,1
google developer conference contains videos,1
google developer conference contains slides,1
google developer conference contains videos,1
google developer conference contains slides,1
android be found on the android developer site,1
html was invented by lee,1
html tags were first publicly mentioned by lee,1
html tags borrowed documentation standard,1
html elements form the building blocks,1
html allows images,1
html allows objects,1
html can be used to create interactive forms,1
html create structured documents,1
html can embed scripts,1
html standards are maintained by wide web consortium,1
html markups are designed css,1
jquery simplifies html document traversal,1
jquery simplifies manipulation,1
jquery simplifies event handling,1
jquery simplifies ajax,1
jquery supports internet explorer version,1
jquery supports mobile browser,1
c++ was developed in the early 1980s,1
c++ was developed in bjarne stroustrup,1
c++ improved type improved safety,1
c++ compiler optimized numerical computations,1
the c++ committee published the first international standard,1
adding coroutines gcc c++20 language support add command line parameter,1
clang c++20 language support add command line parameter,1
complex selectors can be created by joining multiple simple ones,1
os is one of ibm's operating systems,1
os is one of ibm's operating systems,1
ios 14.4 beta released on december,1
os x is based on os foundation,1
each ios application own secure sandbox,1
an ios application can have extensions,1
ios is optimized for graphics,1
ios is optimized for processor,1
ios is optimized for memory constraints,1
interface control elements consist of sliders,1
interface control elements consist of switches,1
interface control elements consist of buttons,1
interaction includes gestures,1
internal accelerometers can be used by applications,1
gyroscopes can be used by applications,1
internal accelerometers rotating three dimensions,1
cocoapods includes ten thousand libraries,1
cocoapods help programmers scale projects,1
cocoapods does not store a central list,1
mysql source code is available under the gnu,1
mysql offers standard database driver connectivity,1
standard sql is based on relational algebra,1
ddl is used to create tables,1
ddl is used to create constraints,1
dml is used to modify data,1
vendors have implemented dialects,1
vendors provide functionality,1
oracle use standard sql,1
postgresql use standard sql,1
microsoft sql server uses sql,1
r was created by ross ihaka,1
r was created by robert gentleman,1
r is now developed by the r development core team,1
the r environment is easily extended through the comprehensive r archive network,1
the r environment is easily extended through a packaging system,1
o runtime uses google's v8 javascript engine,1
o runtime uses libuv library,1
node.js is often used for developing developing applications,1
node.js supports the commonjs standard,1
